frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-6.40,-2.87,-6.40,6.00,2.69,3.10,3.13,3.50
21,-2.69,-6.43,-2.64,-6.43,6.00,3.10,3.31,3.36,3.74
22,-2.43,-6.46,-2.43,-6.46,6.00,3.56,3.57,3.57,4.03
23,-2.20,-6.48,-2.22,-6.48,6.00,4.06,3.80,3.78,4.28
24,-1.99,-6.50,-2.02,-6.50,6.00,4.60,4.01,3.98,4.51
25,-1.79,-6.51,-1.83,-6.51,6.00,5.16,4.21,4.17,4.72
26,-1.61,-6.52,-1.65,-6.53,6.00,5.73,4.39,4.35,4.91
27,-1.46,-6.53,-1.47,-6.53,6.00,6.28,4.54,4.53,5.08
28,-1.30,-6.53,-1.31,-6.54,6.00,6.77,4.70,4.69,5.24
29,-1.16,-6.54,-1.16,-6.54,6.00,7.17,4.84,4.84,5.38
30,-1.02,-6.54,-1.02,-6.54,6.00,7.45,4.98,4.98,5.52
31,-0.90,-6.54,-0.89,-6.53,6.00,7.59,5.10,5.11,5.64
32,-0.78,-6.53,-0.77,-6.53,6.00,7.59,5.22,5.23,5.75
33,-0.66,-6.51,-0.66,-6.51,6.00,7.48,5.34,5.34,5.86
34,-0.55,-6.50,-0.55,-6.50,6.00,7.28,5.45,5.45,5.95
35,-0.45,-6.48,-0.46,-6.48,6.00,7.04,5.55,5.54,6.03
36,-0.37,-6.46,-0.37,-6.45,6.00,6.77,5.63,5.63,6.09
37,-0.28,-6.42,-0.28,-6.43,6.00,6.50,5.72,5.72,6.15
38,-0.19,-6.40,-0.20,-6.39,6.00,6.25,5.81,5.80,6.21
39,-0.12,-6.37,-0.12,-6.36,6.00,6.02,5.88,5.88,6.25
40,-0.05,-6.33,-0.05,-6.32,6.00,5.82,5.95,5.95,6.28
41,0.02,-6.28,0.02,-6.27,6.00,5.65,6.02,6.02,6.31
42,0.07,-6.23,0.09,-6.23,6.00,5.51,6.07,6.09,6.30
43,0.15,-6.18,0.15,-6.18,6.00,5.40,6.15,6.15,6.33
44,0.20,-6.12,0.21,-6.12,6.00,5.32,6.20,6.21,6.32
45,0.25,-6.07,0.26,-6.07,5.99,5.26,6.24,6.25,6.32
46,0.33,-6.02,0.31,-6.01,5.96,5.23,6.30,6.28,6.35
47,0.37,-5.95,0.36,-5.96,5.93,5.22,6.30,6.29,6.32
48,0.41,-5.89,0.41,-5.90,5.89,5.23,6.30,6.30,6.30
