frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-4.47,-2.87,-4.47,4.47,1.99,1.57,1.60,1.57
21,-2.69,-4.50,-2.64,-4.50,4.50,2.29,1.81,1.85,1.81
22,-2.43,-4.53,-2.43,-4.52,4.52,2.63,2.10,2.10,2.10
23,-2.20,-4.55,-2.22,-4.55,4.55,3.00,2.35,2.33,2.35
24,-1.99,-4.57,-2.02,-4.57,4.57,3.39,2.58,2.55,2.58
25,-1.79,-4.58,-1.83,-4.58,4.58,3.80,2.79,2.75,2.79
26,-1.61,-4.59,-1.65,-4.59,4.59,4.21,2.99,2.95,2.98
27,-1.46,-4.60,-1.47,-4.60,4.60,4.60,3.14,3.13,3.14
28,-1.30,-4.60,-1.31,-4.61,4.61,4.95,3.31,3.30,3.30
29,-1.16,-4.61,-1.16,-4.61,4.61,5.22,3.45,3.45,3.45
30,-1.02,-4.61,-1.02,-4.61,4.61,5.41,3.59,3.59,3.59
31,-0.90,-4.61,-0.89,-4.61,4.61,5.49,3.71,3.72,3.71
32,-0.78,-4.60,-0.77,-4.60,4.60,5.49,3.82,3.83,3.82
33,-0.66,-4.59,-0.66,-4.59,4.59,5.40,3.93,3.93,3.93
34,-0.55,-4.57,-0.55,-4.57,4.57,5.25,4.02,4.02,4.03
35,-0.45,-4.55,-0.46,-4.55,4.55,5.07,4.11,4.10,4.10
36,-0.37,-4.54,-0.37,-4.53,4.53,4.86,4.16,4.17,4.17
37,-0.28,-4.51,-0.28,-4.51,4.51,4.66,4.23,4.23,4.23
38,-0.19,-4.48,-0.20,-4.48,4.48,4.46,4.29,4.28,4.29
39,-0.12,-4.45,-0.12,-4.44,4.44,4.28,4.32,4.32,4.33
40,-0.05,-4.42,-0.05,-4.41,4.41,4.11,4.36,4.36,4.37
41,0.02,-4.38,0.02,-4.37,4.37,3.97,4.39,4.39,4.40
42,0.07,-4.33,0.09,-4.32,4.32,3.85,4.39,4.41,4.40
43,0.15,-4.28,0.15,-4.28,4.28,3.75,4.43,4.43,4.43
44,0.20,-4.23,0.21,-4.23,4.23,3.68,4.43,4.44,4.43
45,0.25,-4.18,0.26,-4.18,4.18,3.62,4.43,4.44,4.43
46,0.33,-4.13,0.31,-4.13,4.13,3.58,4.46,4.44,4.46
47,0.37,-4.07,0.36,-4.08,4.08,3.55,4.45,4.44,4.44
48,0.41,-4.02,0.41,-4.03,4.03,3.55,4.44,4.44,4.43
49,0.46,-3.97,0.45,-3.98,3.98,3.55,4.44,4.43,4.43
50,0.50,-3.92,0.50,-3.93,3.93,3.56,4.43,4.42,4.42
51,0.54,-3.87,0.53,-3.88,3.88,3.58,4.42,4.41,4.41
52,0.56,-3.83,0.57,-3.83,3.83,3.61,4.39,4.40,4.39
53,0.59,-3.78,0.61,-3.78,3.78,3.64,4.37,4.38,4.37
54,0.63,-3.74,0.64,-3.73,3.73,3.67,4.36,4.37,4.37
55,0.67,-3.68,0.67,-3.68,3.68,3.70,4.35,4.35,4.36
56,0.72,-3.64,0.70,-3.63,3.63,3.73,4.35,4.33,4.36
57,0.72,-3.58,0.73,-3.58,3.58,3.75,4.30,4.31,4.30
58,0.76,-3.53,0.76,-3.53,3.53,3.76,4.29,4.29,4.29
59,0.80,-3.48,0.78,-3.48,3.48,3.77,4.28,4.27,4.29
60,0.80,-3.43,0.81,-3.44,3.44,3.77,4.24,4.25,4.24
61,0.85,-3.39,0.84,-3.39,3.39,3.75,4.24,4.23,4.24
62,0.85,-3.34,0.86,-3.35,3.35,3.73,4.20,4.21,4.19
63,0.89,-3.30,0.89,-3.31,3.31,3.70,4.20,4.19,4.19
64,0.89,-3.26,0.91,-3.26,3.26,3.66,4.15,4.17,4.15
65,0.93,-3.23,0.93,-3.22,3.22,3.61,4.15,4.15,4.16
66,0.93,-3.19,0.95,-3.18,3.18,3.55,4.11,4.13,4.12
67,0.98,-3.15,0.97,-3.14,3.14,3.48,4.13,4.11,4.13
68,0.98,-3.11,0.98,-3.11,3.11,3.41,4.09,4.09,4.09
69,1.02,-3.08,1.00,-3.07,3.07,3.34,4.09,4.07,4.10
70,1.02,-3.04,1.02,-3.03,3.03,3.26,4.05,4.05,4.06
71,1.02,-3.01,1.04,-3.00,3.00,3.18,4.02,4.03,4.03
72,1.06,-2.96,1.05,-2.96,2.96,3.10,4.02,4.01,4.03
73,1.06,-2.92,1.07,-2.92,2.92,3.03,3.98,3.99,3.98
74,1.08,-2.89,1.09,-2.88,2.88,2.95,3.96,3.97,3.97
75,1.11,-2.85,1.10,-2.85,2.85,2.87,3.96,3.95,3.96
76,1.11,-2.82,1.11,-2.81,2.81,2.80,3.92,3.92,3.93
77,1.11,-2.77,1.12,-2.78,2.78,2.73,3.89,3.90,3.88
78,1.15,-2.74,1.14,-2.74,2.74,2.66,3.89,3.88,3.89
79,1.15,-2.70,1.15,-2.71,2.71,2.60,3.86,3.86,3.85
80,1.15,-2.67,1.16,-2.68,2.68,2.54,3.83,3.84,3.82
81,1.18,-2.65,1.17,-2.65,2.65,2.48,3.83,3.82,3.83
82,1.19,-2.62,1.18,-2.62,2.62,2.42,3.81,3.80,3.81
83,1.19,-2.59,1.20,-2.59,2.59,2.37,3.78,3.79,3.78
84,1.19,-2.58,1.21,-2.57,2.57,2.32,3.76,3.77,3.77
85,1.21,-2.55,1.22,-2.54,2.54,2.28,3.76,3.76,3.76
86,1.24,-2.52,1.23,-2.52,2.52,2.24,3.76,3.75,3.77
87,1.24,-2.50,1.23,-2.50,2.50,2.20,3.74,3.73,3.74
88,1.24,-2.48,1.24,-2.48,2.48,2.16,3.72,3.72,3.72
89,1.24,-2.46,1.25,-2.46,2.46,2.13,3.70,3.71,3.70
90,1.25,-2.44,1.26,-2.44,2.44,2.10,3.69,3.70,3.69
91,1.28,-2.42,1.27,-2.42,2.42,2.08,3.70,3.68,3.70
92,1.28,-2.40,1.28,-2.39,2.39,2.05,3.68,3.67,3.68
93,1.28,-2.38,1.28,-2.37,2.37,2.03,3.65,3.66,3.66
94,1.28,-2.35,1.29,-2.35,2.35,2.01,3.63,3.64,3.63
95,1.28,-2.33,1.29,-2.33,2.33,2.00,3.61,3.62,3.61
96,1.30,-2.31,1.30,-2.31,2.31,1.98,3.61,3.61,3.61
97,1.32,-2.29,1.30,-2.29,2.29,1.97,3.61,3.59,3.61
98,1.32,-2.26,1.31,-2.27,2.27,1.96,3.59,3.58,3.59
99,1.32,-2.25,1.32,-2.25,2.25,1.95,3.57,3.56,3.57
100,1.32,-2.22,1.32,-2.22,2.22,1.94,3.54,3.55,3.54
101,1.32,-2.20,1.33,-2.20,2.20,1.93,3.52,3.53,3.52
102,1.32,-2.17,1.34,-2.18,2.18,1.93,3.50,3.51,3.49
104,1.32,-2.18,1.34,-2.15,2.15,1.92,3.47,3.49,3.50
105,1.34,-2.15,1.35,-2.13,2.13,1.92,3.47,3.47,3.49
106,1.36,-2.12,1.35,-2.10,2.10,1.91,3.46,3.45,3.48
107,1.37,-2.08,1.35,-2.07,2.07,1.91,3.44,3.43,3.46
108,1.37,-2.05,1.36,-2.04,2.04,1.91,3.41,3.40,3.42
109,1.37,-2.02,1.36,-2.01,2.01,1.91,3.39,3.38,3.39
110,1.37,-1.98,1.37,-1.98,1.98,1.91,3.36,3.35,3.35
111,1.37,-1.95,1.37,-1.95,1.95,1.90,3.33,3.33,3.32
112,1.37,-1.92,1.38,-1.92,1.92,1.90,3.30,3.30,3.29
113,1.37,-1.89,1.38,-1.89,1.89,1.90,3.27,3.28,3.26
114,1.37,-1.85,1.39,-1.87,1.87,1.90,3.24,3.25,3.22
115,1.37,-1.83,1.39,-1.84,1.84,1.89,3.21,3.23,3.20
117,1.39,-1.82,1.39,-1.81,1.81,1.88,3.20,3.20,3.21
118,1.41,-1.79,1.40,-1.78,1.78,1.87,3.19,3.18,3.20
119,1.41,-1.75,1.40,-1.75,1.75,1.87,3.17,3.15,3.17
120,1.41,-1.72,1.40,-1.73,1.73,1.86,3.14,3.13,3.13
121,1.41,-1.70,1.41,-1.70,1.70,1.85,3.11,3.11,3.11
123,1.41,-1.69,1.41,-1.68,1.68,1.83,3.09,3.09,3.10
124,1.41,-1.66,1.41,-1.65,1.65,1.81,3.06,3.06,3.07
125,1.41,-1.62,1.41,-1.63,1.63,1.80,3.04,3.04,3.03
126,1.41,-1.59,1.41,-1.60,1.60,1.78,3.01,3.02,3.01
128,1.41,-1.59,1.41,-1.58,1.58,1.75,2.99,2.99,3.00
129,1.41,-1.56,1.41,-1.55,1.55,1.73,2.96,2.96,2.97
130,1.41,-1.53,1.41,-1.52,1.52,1.71,2.93,2.93,2.94
131,1.41,-1.48,1.41,-1.50,1.50,1.69,2.91,2.91,2.89
133,1.41,-1.48,1.41,-1.47,1.47,1.64,2.88,2.88,2.89
134,1.41,-1.44,1.41,-1.44,1.44,1.62,2.85,2.85,2.85
135,1.41,-1.41,1.41,-1.41,1.41,1.59,2.82,2.82,2.82
137,1.41,-1.39,1.41,-1.38,1.38,1.54,2.79,2.79,2.80
138,1.41,-1.35,1.41,-1.35,1.35,1.52,2.76,2.76,2.76
140,1.41,-1.33,1.41,-1.32,1.32,1.46,2.73,2.73,2.75
141,1.41,-1.29,1.41,-1.29,1.29,1.43,2.70,2.70,2.71
142,1.41,-1.25,1.41,-1.26,1.26,1.41,2.67,2.67,2.66
144,1.41,-1.23,1.41,-1.23,1.23,1.35,2.64,2.64,2.64
145,1.41,-1.19,1.41,-1.20,1.20,1.32,2.61,2.61,2.60
147,1.41,-1.17,1.41,-1.16,1.16,1.27,2.57,2.57,2.58
148,1.41,-1.13,1.41,-1.13,1.13,1.24,2.54,2.54,2.54
150,1.41,-1.10,1.41,-1.10,1.10,1.18,2.51,2.51,2.51
151,1.41,-1.06,1.41,-1.06,1.06,1.15,2.47,2.48,2.47
153,1.41,-1.03,1.41,-1.03,1.03,1.10,2.44,2.44,2.45
154,1.41,-0.99,1.41,-0.99,0.99,1.07,2.41,2.41,2.41
156,1.41,-0.96,1.41,-0.96,0.96,1.02,2.37,2.37,2.37
157,1.41,-0.92,1.41,-0.92,0.92,0.99,2.33,2.33,2.33
159,1.41,-0.89,1.41,-0.89,0.89,0.94,2.30,2.30,2.30
160,1.41,-0.85,1.41,-0.85,0.85,0.91,2.26,2.26,2.26
162,1.41,-0.82,1.40,-0.82,0.82,0.86,2.23,2.22,2.23
164,1.41,-0.79,1.40,-0.78,0.78,0.81,2.19,2.18,2.20
165,1.39,-0.74,1.39,-0.74,0.74,0.79,2.13,2.13,2.13
167,1.37,-0.71,1.39,-0.70,0.70,0.74,2.07,2.09,2.08
169,1.37,-0.67,1.38,-0.66,0.66,0.69,2.03,2.05,2.05
170,1.37,-0.62,1.38,-0.62,0.62,0.67,1.99,2.00,2.00
172,1.37,-0.58,1.37,-0.58,0.58,0.62,1.96,1.95,1.95
174,1.37,-0.55,1.36,-0.54,0.54,0.58,1.92,1.91,1.92
175,1.37,-0.50,1.35,-0.51,0.51,0.56,1.88,1.86,1.87
177,1.34,-0.46,1.34,-0.47,0.47,0.52,1.81,1.81,1.80
179,1.32,-0.43,1.34,-0.43,0.43,0.48,1.75,1.76,1.75
181,1.32,-0.39,1.33,-0.39,0.39,0.44,1.71,1.72,1.71
183,1.32,-0.35,1.32,-0.35,0.35,0.40,1.67,1.67,1.67
184,1.32,-0.31,1.31,-0.31,0.31,0.38,1.63,1.62,1.63
186,1.28,-0.28,1.29,-0.28,0.28,0.34,1.56,1.57,1.56
188,1.28,-0.24,1.28,-0.24,0.24,0.30,1.52,1.52,1.52
190,1.28,-0.20,1.27,-0.21,0.21,0.26,1.49,1.47,1.48
192,1.24,-0.17,1.25,-0.17,0.17,0.23,1.41,1.42,1.41
194,1.24,-0.14,1.23,-0.14,0.14,0.19,1.38,1.37,1.38
196,1.24,-0.11,1.22,-0.11,0.11,0.16,1.35,1.33,1.35
198,1.19,-0.08,1.20,-0.08,0.08,0.13,1.27,1.28,1.27
200,1.19,-0.05,1.18,-0.05,0.05,0.09,1.24,1.23,1.24
202,1.15,-0.02,1.16,-0.02,0.02,0.06,1.17,1.18,1.17
204,1.15,0.01,1.15,0.01,-0.01,0.03,1.14,1.14,1.14
206,1.15,0.04,1.14,0.04,-0.04,-0.00,1.11,1.10,1.11
208,1.11,0.07,1.13,0.07,-0.07,-0.03,1.04,1.06,1.04
210,1.11,0.09,1.12,0.10,-0.10,-0.06,1.01,1.02,1.02
212,1.11,0.12,1.12,0.12,-0.12,-0.09,0.99,0.99,0.99
