frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
20,-2.90,-5.44,-2.87,-5.44,5.44,2.42,2.54,2.57,2.54
21,-2.69,-5.47,-2.64,-5.47,5.47,2.80,2.78,2.83,2.78
22,-2.43,-5.50,-2.43,-5.50,5.50,3.22,3.07,3.07,3.07
23,-2.20,-5.52,-2.22,-5.52,5.52,3.67,3.32,3.30,3.32
24,-1.99,-5.54,-2.02,-5.54,5.54,4.16,3.55,3.52,3.55
25,-1.79,-5.55,-1.83,-5.56,5.56,4.67,3.77,3.73,3.77
26,-1.61,-5.56,-1.65,-5.57,5.57,5.18,3.96,3.92,3.95
27,-1.46,-5.58,-1.47,-5.58,5.58,5.67,4.12,4.10,4.12
28,-1.30,-5.58,-1.31,-5.59,5.59,6.11,4.29,4.27,4.28
29,-1.16,-5.59,-1.16,-5.59,5.59,6.47,4.43,4.43,4.43
30,-1.02,-5.59,-1.02,-5.59,5.59,6.72,4.57,4.57,4.57
31,-0.90,-5.59,-0.89,-5.58,5.58,6.84,4.68,4.70,4.69
32,-0.78,-5.58,-0.77,-5.58,5.58,6.85,4.80,4.81,4.80
33,-0.66,-5.57,-0.66,-5.57,5.57,6.74,4.91,4.91,4.91
34,-0.55,-5.55,-0.55,-5.55,5.55,6.57,5.00,5.00,5.00
35,-0.45,-5.53,-0.46,-5.53,5.53,6.34,5.08,5.08,5.08
36,-0.37,-5.52,-0.37,-5.51,5.51,6.09,5.14,5.15,5.15
37,-0.28,-5.48,-0.28,-5.49,5.49,5.84,5.21,5.21,5.21
38,-0.19,-5.46,-0.20,-5.46,5.46,5.60,5.27,5.26,5.27
39,-0.12,-5.43,-0.12,-5.42,5.42,5.38,5.30,5.30,5.31
40,-0.05,-5.40,-0.05,-5.38,5.38,5.19,5.34,5.34,5.35
41,0.02,-5.35,0.02,-5.34,5.34,5.02,5.36,5.37,5.38
42,0.07,-5.31,0.09,-5.30,5.30,4.88,5.37,5.39,5.38
43,0.15,-5.26,0.15,-5.25,5.25,4.76,5.40,5.40,5.41
44,0.20,-5.20,0.21,-5.20,5.20,4.67,5.40,5.41,5.40
45,0.25,-5.16,0.26,-5.15,5.15,4.60,5.40,5.42,5.41
46,0.33,-5.10,0.31,-5.10,5.10,4.56,5.43,5.42,5.43
47,0.37,-5.04,0.36,-5.05,5.05,4.53,5.42,5.41,5.41
48,0.41,-4.99,0.41,-5.00,5.00,4.52,5.41,5.40,5.40
49,0.46,-4.93,0.45,-4.94,4.94,4.53,5.40,5.39,5.39
50,0.50,-4.88,0.50,-4.89,4.89,4.55,5.39,5.38,5.38
51,0.54,-4.83,0.53,-4.83,4.83,4.58,5.38,5.37,5.37
52,0.56,-4.79,0.57,-4.78,4.78,4.62,5.34,5.35,5.35
53,0.59,-4.74,0.61,-4.73,4.73,4.66,5.32,5.33,5.33
54,0.63,-4.69,0.64,-4.67,4.67,4.70,5.31,5.32,5.32
55,0.67,-4.63,0.67,-4.62,4.62,4.75,5.29,5.29,5.30
56,0.72,-4.58,0.70,-4.57,4.57,4.78,5.29,5.27,5.30
57,0.72,-4.52,0.73,-4.51,4.51,4.81,5.24,5.25,5.24
58,0.76,-4.46,0.76,-4.46,4.46,4.83,5.22,5.22,5.22
59,0.80,-4.41,0.78,-4.41,4.41,4.84,5.21,5.19,5.21
60,0.80,-4.35,0.81,-4.36,4.36,4.84,5.16,5.17,5.15
61,0.85,-4.30,0.84,-4.30,4.30,4.82,5.16,5.14,5.15
62,0.85,-4.25,0.86,-4.25,4.25,4.79,5.11,5.12,5.10
63,0.89,-4.20,0.89,-4.20,4.20,4.75,5.10,5.09,5.09
64,0.89,-4.15,0.91,-4.16,4.16,4.69,5.05,5.06,5.04
65,0.93,-4.11,0.93,-4.11,4.11,4.62,5.04,5.03,5.04
66,0.93,-4.06,0.95,-4.06,4.06,4.54,4.99,5.01,4.99
67,0.98,-4.02,0.97,-4.01,4.01,4.46,4.99,4.98,5.00
68,0.98,-3.97,0.98,-3.97,3.97,4.36,4.95,4.95,4.95
69,1.02,-3.93,1.00,-3.92,3.92,4.27,4.94,4.92,4.95
70,1.02,-3.88,1.02,-3.88,3.88,4.16,4.90,4.90,4.90
71,1.02,-3.84,1.04,-3.83,3.83,4.06,4.85,4.87,4.86
72,1.06,-3.79,1.05,-3.78,3.78,3.96,4.84,4.84,4.85
73,1.06,-3.74,1.07,-3.73,3.73,3.85,4.80,4.80,4.80
74,1.08,-3.69,1.09,-3.69,3.69,3.75,4.77,4.77,4.78
75,1.11,-3.64,1.10,-3.64,3.64,3.65,4.75,4.74,4.75
76,1.11,-3.60,1.11,-3.59,3.59,3.55,4.70,4.71,4.71
77,1.11,-3.54,1.12,-3.55,3.55,3.46,4.66,4.67,4.66
78,1.15,-3.50,1.14,-3.50,3.50,3.37,4.65,4.64,4.65
79,1.15,-3.45,1.15,-3.46,3.46,3.28,4.61,4.61,4.60
80,1.15,-3.41,1.16,-3.42,3.42,3.20,4.57,4.58,4.56
81,1.18,-3.37,1.17,-3.38,3.38,3.12,4.56,4.55,4.55
82,1.19,-3.33,1.18,-3.34,3.34,3.05,4.53,4.52,4.52
83,1.19,-3.29,1.20,-3.30,3.30,2.98,4.49,4.49,4.49
84,1.19,-3.27,1.21,-3.26,3.26,2.91,4.45,4.47,4.46
85,1.21,-3.23,1.22,-3.22,3.22,2.85,4.44,4.44,4.44
86,1.24,-3.19,1.23,-3.19,3.19,2.79,4.43,4.42,4.43
87,1.24,-3.16,1.23,-3.16,3.16,2.74,4.40,4.39,4.40
88,1.24,-3.12,1.24,-3.12,3.12,2.69,4.36,4.36,4.36
89,1.24,-3.09,1.25,-3.09,3.09,2.64,4.33,4.34,4.33
90,1.25,-3.06,1.26,-3.06,3.06,2.60,4.31,4.32,4.31
91,1.28,-3.02,1.27,-3.02,3.02,2.56,4.30,4.29,4.30
92,1.28,-2.99,1.28,-2.99,2.99,2.53,4.27,4.26,4.27
93,1.28,-2.96,1.28,-2.96,2.96,2.49,4.24,4.24,4.24
94,1.28,-2.92,1.29,-2.92,2.92,2.46,4.20,4.21,4.20
95,1.28,-2.89,1.29,-2.89,2.89,2.44,4.17,4.18,4.17
96,1.30,-2.86,1.30,-2.86,2.86,2.41,4.16,4.15,4.16
97,1.32,-2.83,1.30,-2.82,2.82,2.39,4.14,4.13,4.15
98,1.32,-2.79,1.31,-2.79,2.79,2.37,4.11,4.10,4.11
99,1.32,-2.75,1.32,-2.75,2.75,2.35,4.08,4.07,4.08
100,1.32,-2.71,1.32,-2.72,2.72,2.34,4.04,4.04,4.03
101,1.32,-2.68,1.33,-2.68,2.68,2.32,4.01,4.01,4.00
102,1.32,-2.64,1.34,-2.65,2.65,2.31,3.97,3.98,3.96
104,1.32,-2.63,1.34,-2.61,2.61,2.29,3.93,3.95,3.95
